53f1d13 Add authentication and multi-user support
 Gemfile                                           |  2 +-
 Gemfile.lock                                      |  3 ++
 app/controllers/application_controller.rb         | 11 ++++
 app/controllers/chats_controller.rb               | 12 +++--
 app/controllers/messages_controller.rb            |  4 +-
 app/controllers/registrations_controller.rb       | 23 +++++++++
 app/controllers/sessions_controller.rb            | 22 ++++++++
 app/models/chat.rb                                |  2 +
 app/models/user.rb                                | 10 ++++
 app/views/chats/index.html.erb                    |  4 ++
 app/views/chats/show.html.erb                     |  4 ++
 app/views/registrations/new.html.erb              | 42 +++++++++++++++
 app/views/sessions/new.html.erb                   | 34 ++++++++++++
 config/routes.rb                                  |  3 ++
 db/migrate/20260906175359_create_users.rb         | 11 ++++
 db/migrate/20260906175412_add_user_to_chats.rb    |  5 ++
 db/schema.rb                                      | 13 ++++-
 test/application_system_test_case.rb              | 18 +++++++
 test/controllers/chats_controller_test.rb         | 34 ++++++++++++
 test/controllers/messages_controller_test.rb      | 18 +++++++
 test/controllers/registrations_controller_test.rb | 54 +++++++++++++++++++
 test/controllers/sessions_controller_test.rb      | 37 +++++++++++++
 test/fixtures/chats.yml                           |  7 +++
 test/fixtures/users.yml                           |  7 +++
 test/models/chat_test.rb                          |  5 ++
 test/models/user_test.rb                          | 63 +++++++++++++++++++++++
 test/system/authentication_test.rb                | 60 +++++++++++++++++++++
 test/system/chats_test.rb                         | 35 +++++++++----
 test/test_helper.rb                               | 10 ++++
 29 files changed, 534 insertions(+), 19 deletions(-)
7622417 Build RubyLLM-powered chat application with Rails 8
 .dockerignore                                      |  51 ++
 .gitattributes                                     |   9 +
 .github/dependabot.yml                             |  12 +
 .github/workflows/ci.yml                           | 124 +++++
 .gitignore                                         |  38 ++
 .kamal/hooks/docker-setup.sample                   |   3 +
 .kamal/hooks/post-app-boot.sample                  |   3 +
 .kamal/hooks/post-deploy.sample                    |  14 +
 .kamal/hooks/post-proxy-reboot.sample              |   3 +
 .kamal/hooks/pre-app-boot.sample                   |   3 +
 .kamal/hooks/pre-build.sample                      |  51 ++
 .kamal/hooks/pre-connect.sample                    |  47 ++
 .kamal/hooks/pre-deploy.sample                     | 122 +++++
 .kamal/hooks/pre-proxy-reboot.sample               |   3 +
 .kamal/secrets                                     |  20 +
 .rubocop.yml                                       |   8 +
 .ruby-version                                      |   1 +
 Dockerfile                                         |  77 +++
 Dockerfile.dev                                     |  19 +
 Gemfile                                            |  66 +++
 Gemfile.lock                                       | 575 +++++++++++++++++++++
 Procfile.dev                                       |   2 +
 README.md                                          |  59 +++
 Rakefile                                           |   6 +
 app/agents/.gitkeep                                |   0
 app/assets/builds/.keep                            |   0
 app/assets/images/.keep                            |   0
 app/assets/stylesheets/application.css             |  10 +
 app/assets/tailwind/application.css                |   1 +
 app/controllers/application_controller.rb          |   7 +
 app/controllers/chats_controller.rb                |  26 +
 app/controllers/concerns/.keep                     |   0
 app/controllers/messages_controller.rb             |  18 +
 app/helpers/application_helper.rb                  |   2 +
 app/javascript/application.js                      |   3 +
 app/javascript/controllers/application.js          |   9 +
 app/javascript/controllers/index.js                |   4 +
 .../controllers/reset_form_controller.js           |  14 +
 app/javascript/controllers/scroll_controller.js    |  19 +
 app/jobs/application_job.rb                        |   7 +
 app/jobs/chat_job.rb                               |  55 ++
 app/models/application_record.rb                   |   3 +
 app/models/chat.rb                                 |  11 +
 app/models/concerns/.keep                          |   0
 app/models/message.rb                              |  27 +
 app/models/model.rb                                |   3 +
 app/models/tool_call.rb                            |   3 +
 app/prompts/.gitkeep                               |   0
 app/schemas/.gitkeep                               |   0
 app/tools/.gitkeep                                 |   0
 app/views/chats/_chat_sidebar_item.html.erb        |   5 +
 app/views/chats/_show_content.html.erb             |  26 +
 app/views/chats/index.html.erb                     |  33 ++
 app/views/chats/show.html.erb                      |  21 +
 app/views/layouts/application.html.erb             |  25 +
 app/views/messages/_message.html.erb               |   8 +
 app/views/pwa/manifest.json.erb                    |  22 +
 app/views/pwa/service-worker.js                    |  26 +
 bin/brakeman                                       |   7 +
 bin/bundler-audit                                  |   6 +
 bin/ci                                             |   6 +
 bin/dev                                            |  16 +
 bin/docker-entrypoint                              |   8 +
 bin/importmap                                      |   4 +
 bin/jobs                                           |   6 +
 bin/kamal                                          |  16 +
 bin/rails                                          |   4 +
 bin/rake                                           |   4 +
 bin/rubocop                                        |   8 +
 bin/setup                                          |  35 ++
 bin/thrust                                         |   5 +
 config.ru                                          |   6 +
 config/application.rb                              |  39 ++
 config/boot.rb                                     |   4 +
 config/bundler-audit.yml                           |   5 +
 config/cable.yml                                   |  17 +
 config/cache.yml                                   |  16 +
 config/ci.rb                                       |  24 +
 config/credentials.yml.enc                         |   1 +
 config/database.yml                                |  40 ++
 config/deploy.yml                                  | 119 +++++
 config/environment.rb                              |   5 +
 config/environments/development.rb                 |  69 +++
 config/environments/production.rb                  |  71 +++
 config/environments/test.rb                        |  45 ++
 config/importmap.rb                                |   7 +
 config/initializers/assets.rb                      |   7 +
 config/initializers/content_security_policy.rb     |  29 ++
 config/initializers/filter_parameter_logging.rb    |   8 +
 config/initializers/inflections.rb                 |  16 +
 config/initializers/ruby_llm.rb                    |   5 +
 config/locales/en.yml                              |  31 ++
 config/puma.rb                                     |  42 ++
 config/queue.yml                                   |  18 +
 config/recurring.yml                               |  15 +
 config/routes.rb                                   |  11 +
 db/cable_schema.rb                                 |  11 +
 db/cache_schema.rb                                 |  12 +
 db/migrate/20260906172408_create_chats.rb          |   7 +
 db/migrate/20260906172409_create_messages.rb       |  19 +
 db/migrate/20260906172410_create_tool_calls.rb     |  16 +
 db/migrate/20260906172411_create_models.rb         |  25 +
 ..._references_to_chats_tool_calls_and_messages.rb |   9 +
 db/migrate/20260906172446_add_title_to_chats.rb    |   5 +
 db/queue_schema.rb                                 | 160 ++++++
 db/schema.rb                                       |  82 +++
 db/seeds.rb                                        |   9 +
 docker-compose.yml                                 |  20 +
 lib/tasks/.keep                                    |   0
 log/.keep                                          |   0
 public/400.html                                    | 135 +++++
 public/404.html                                    | 135 +++++
 public/406-unsupported-browser.html                | 135 +++++
 public/422.html                                    | 135 +++++
 public/500.html                                    | 135 +++++
 public/icon.png                                    | Bin 0 -> 4166 bytes
 public/icon.svg                                    |   3 +
 public/robots.txt                                  |   1 +
 script/.keep                                       |   0
 storage/.keep                                      |   0
 test/application_system_test_case.rb               |   5 +
 test/controllers/.keep                             |   0
 test/controllers/chats_controller_test.rb          |  31 ++
 test/controllers/messages_controller_test.rb       |  30 ++
 test/fixtures/chats.yml                            |   7 +
 test/fixtures/files/.keep                          |   0
 test/fixtures/messages.yml                         |   9 +
 test/fixtures/models.yml                           |   4 +
 test/fixtures/tool_calls.yml                       |   1 +
 test/helpers/.keep                                 |   0
 test/integration/.keep                             |   0
 test/jobs/chat_job_test.rb                         |   7 +
 test/models/.keep                                  |   0
 test/models/chat_test.rb                           |  44 ++
 test/models/message_test.rb                        |  32 ++
 test/system/chats_test.rb                          |  47 ++
 test/test_helper.rb                                |  15 +
 tmp/.keep                                          |   0
 tmp/pids/.keep                                     |   0
 tmp/storage/.keep                                  |   0
 vendor/.keep                                       |   0
 vendor/javascript/.keep                            |   0
 142 files changed, 3765 insertions(+)
