1992e58 Package the app for Docker and document setup
 .env.example          |  18 +++++++
 Dockerfile            |  86 +++++++++++++++++++++++++++++
 README.md             | 147 ++++++++++++++++++++++++++++++++++++++++++++++++++
 bin/docker-entrypoint |  10 ++++
 docker-compose.yml    |  35 ++++++++++++
 5 files changed, 296 insertions(+)
cdbe462 Cover the chat flow with model, integration and system tests
 config/ci.rb                                      |  22 ++++
 test/application_system_test_case.rb              |  47 +++++++
 test/controllers/.keep                            |   0
 test/controllers/conversations_controller_test.rb | 143 ++++++++++++++++++++++
 test/controllers/messages_controller_test.rb      |  80 ++++++++++++
 test/controllers/passwords_controller_test.rb     |  67 ++++++++++
 test/controllers/registrations_controller_test.rb |  42 +++++++
 test/controllers/sessions_controller_test.rb      |  33 +++++
 test/fixtures/conversations.yml                   |  18 +++
 test/fixtures/files/.keep                         |   0
 test/fixtures/llm_models.yml                      |  40 ++++++
 test/fixtures/messages.yml                        |  20 +++
 test/fixtures/users.yml                           |   9 ++
 test/helpers/.keep                                |   0
 test/helpers/messages_helper_test.rb              |  48 ++++++++
 test/integration/.keep                            |   0
 test/jobs/assistant_reply_job_test.rb             |  97 +++++++++++++++
 test/mailers/.keep                                |   0
 test/mailers/previews/passwords_mailer_preview.rb |   7 ++
 test/models/.keep                                 |   0
 test/models/conversation_test.rb                  |  84 +++++++++++++
 test/models/llm_model_test.rb                     |  28 +++++
 test/models/message_test.rb                       |  50 ++++++++
 test/models/user_test.rb                          |  24 ++++
 test/system/authentication_test.rb                |  40 ++++++
 test/system/chats_test.rb                         |  83 +++++++++++++
 test/test_helper.rb                               |  40 ++++++
 test/test_helpers/open_router_test_helper.rb      |  36 ++++++
 test/test_helpers/query_count_test_helper.rb      |  31 +++++
 test/test_helpers/session_test_helper.rb          |  19 +++
 test/test_helpers/turbo_broadcast_test_helper.rb  |  34 +++++
 31 files changed, 1142 insertions(+)
485a49d Add an authenticated, streaming chat over OpenRouter
 app/controllers/concerns/.keep                     |   0
 app/controllers/concerns/authentication.rb         |  56 ++++++++
 app/controllers/conversations_controller.rb        |  61 ++++++++
 app/controllers/messages_controller.rb             |  29 ++++
 app/controllers/passwords_controller.rb            |  36 +++++
 app/controllers/registrations_controller.rb        |  26 ++++
 app/controllers/sessions_controller.rb             |  22 +++
 app/helpers/conversations_helper.rb                |   9 ++
 app/helpers/messages_helper.rb                     |  33 +++++
 .../controllers/autoscroll_controller.js           |  47 ++++++
 app/javascript/controllers/composer_controller.js  |  29 ++++
 app/javascript/controllers/dismiss_controller.js   |  14 ++
 app/javascript/controllers/rename_controller.js    |  22 +++
 app/jobs/assistant_reply_job.rb                    | 101 +++++++++++++
 app/mailers/passwords_mailer.rb                    |   6 +
 app/models/concerns/.keep                          |   0
 app/models/concerns/broadcastable.rb               |  38 +++++
 app/models/conversation.rb                         |  59 ++++++++
 app/models/current.rb                              |   4 +
 app/models/llm_model.rb                            |  32 +++++
 app/models/message.rb                              |  23 +++
 app/models/session.rb                              |   3 +
 app/models/tool_call.rb                            |   5 +
 app/models/user.rb                                 |  10 ++
 app/views/conversations/_composer.html.erb         |  49 +++++++
 app/views/conversations/_messages.html.erb         |  11 ++
 app/views/conversations/index.html.erb             |  16 +++
 app/views/conversations/show.html.erb              |  32 +++++
 app/views/layouts/application.html.erb             |  35 +++++
 app/views/layouts/authentication.html.erb          |  26 ++++
 app/views/messages/_failure.html.erb               |   3 +
 app/views/messages/_message.html.erb               |  27 ++++
 app/views/messages/create.turbo_stream.erb         |   7 +
 app/views/passwords/edit.html.erb                  |  11 ++
 app/views/passwords/new.html.erb                   |  13 ++
 app/views/passwords_mailer/reset.html.erb          |   6 +
 app/views/passwords_mailer/reset.text.erb          |   4 +
 app/views/registrations/new.html.erb               |  23 +++
 app/views/sessions/new.html.erb                    |  16 +++
 app/views/shared/_flash.html.erb                   |   7 +
 app/views/shared/_sidebar.html.erb                 |  50 +++++++
 bin/setup                                          |  41 ++++++
 config/cable.yml                                   |  18 ++-
 config/initializers/ruby_llm.rb                    |  22 +++
 config/routes.rb                                   |  10 ++
 db/cable_schema.rb                                 |  11 ++
 db/cache_schema.rb                                 |  12 ++
 db/migrate/20260907183214_create_users.rb          |  11 ++
 db/migrate/20260907183215_create_sessions.rb       |  11 ++
 db/migrate/20260907183217_create_conversations.rb  |  13 ++
 db/migrate/20260907183218_create_messages.rb       |  19 +++
 db/migrate/20260907183219_create_tool_calls.rb     |  16 +++
 db/migrate/20260907183220_create_llm_models.rb     |  25 ++++
 ...ces_to_conversations_tool_calls_and_messages.rb |  12 ++
 ...260907184830_add_last_error_to_conversations.rb |   7 +
 db/queue_schema.rb                                 | 160 +++++++++++++++++++++
 db/schema.rb                                       | 105 ++++++++++++++
 db/seeds.rb                                        |  10 ++
 lib/tasks/.keep                                    |   0
 lib/tasks/llm_models.rake                          |   7 +
 60 files changed, 1505 insertions(+), 6 deletions(-)
45f1745 Bootstrap the Rails 8 application skeleton
 .dockerignore                                   |  47 ++
 .gitattributes                                  |   9 +
 .github/dependabot.yml                          |  12 +
 .github/workflows/ci.yml                        | 124 +++++
 .gitignore                                      |  44 ++
 .rubocop.yml                                    |   8 +
 .ruby-version                                   |   1 +
