96061fa Add RubyLLM-powered chat app on Rails 8 with Hotwire streaming
 .dockerignore                                      |  47 ++
 .env.example                                       |  10 +
 .gitattributes                                     |   9 +
 .github/dependabot.yml                             |  12 +
 .github/workflows/ci.yml                           | 130 +++++
 .gitignore                                         |  39 ++
 .rubocop.yml                                       |   8 +
 .ruby-version                                      |   1 +
 Dockerfile                                         |  77 +++
 Gemfile                                            |  75 +++
 Gemfile.lock                                       | 605 +++++++++++++++++++++
 Procfile.dev                                       |   2 +
 README.md                                          | 136 +++++
 Rakefile                                           |   6 +
 app/agents/.gitkeep                                |   0
 app/assets/builds/.keep                            |   0
 app/assets/images/.keep                            |   0
 app/assets/stylesheets/application.css             |  10 +
 app/assets/tailwind/application.css                |   1 +
 app/controllers/application_controller.rb          |  14 +
 app/controllers/concerns/.keep                     |   0
 app/controllers/conversations_controller.rb        |  44 ++
 app/controllers/messages_controller.rb             |  29 +
 app/controllers/models_controller.rb               |  14 +
 app/helpers/application_helper.rb                  |   2 +
 app/helpers/messages_helper.rb                     |  25 +
 app/javascript/application.js                      |   3 +
 app/javascript/controllers/application.js          |   9 +
 app/javascript/controllers/hello_controller.js     |   7 +
 app/javascript/controllers/index.js                |   4 +
 app/jobs/application_job.rb                        |   7 +
 app/jobs/conversation_response_job.rb              |  12 +
 app/mailers/application_mailer.rb                  |   4 +
 app/models/application_record.rb                   |   3 +
 app/models/concerns/.keep                          |   0
 app/models/conversation.rb                         |  13 +
 app/models/message.rb                              |  11 +
 app/models/model.rb                                |   3 +
 app/models/tool_call.rb                            |   3 +
 app/prompts/.gitkeep                               |   0
 app/schemas/.gitkeep                               |   0
 app/tools/.gitkeep                                 |   0
 app/views/conversations/_conversation.html.erb     |  16 +
 app/views/conversations/_form.html.erb             |  31 ++
 app/views/conversations/index.html.erb             |  31 ++
 app/views/conversations/new.html.erb               |   9 +
 app/views/conversations/show.html.erb              |  26 +
 app/views/layouts/application.html.erb             |  31 ++
 app/views/layouts/mailer.html.erb                  |  13 +
 app/views/layouts/mailer.text.erb                  |   1 +
 app/views/messages/_assistant.html.erb             |  14 +
 app/views/messages/_content.html.erb               |   1 +
 app/views/messages/_error.html.erb                 |  13 +
 app/views/messages/_form.html.erb                  |  23 +
 app/views/messages/_system.html.erb                |  10 +
 app/views/messages/_tool.html.erb                  |   2 +
 app/views/messages/_tool_calls.html.erb            |   4 +
 app/views/messages/_user.html.erb                  |  14 +
 app/views/messages/create.turbo_stream.erb         |   7 +
 app/views/messages/tool_calls/_default.html.erb    |  13 +
 app/views/messages/tool_results/_default.html.erb  |  21 +
 app/views/models/_model.html.erb                   |  17 +
