abf9783 Build Rails chat foundation with OpenRouter
 .dockerignore                                      |  48 ++
 .env.example                                       |   2 +
 .github/dependabot.yml                             |  12 +
 .github/workflows/ci.yml                           | 124 +++++
 .gitignore                                         |  17 +
 .rubocop.yml                                       |   8 +
 .ruby-version                                      |   1 +
 Dockerfile                                         |  26 +
 Gemfile                                            |  56 +++
 Gemfile.lock                                       | 527 +++++++++++++++++++++
 Procfile.dev                                       |   2 +
 README.md                                          |  47 ++
 Rakefile                                           |   6 +
 app/assets/builds/.keep                            |   0
 app/assets/images/.keep                            |   0
 app/assets/stylesheets/application.css             |  10 +
 app/assets/tailwind/application.css                |   1 +
 app/controllers/application_controller.rb          |  24 +
 app/controllers/concerns/.keep                     |   0
 app/controllers/conversations_controller.rb        |  31 ++
 app/controllers/messages_controller.rb             |  28 ++
 app/helpers/application_helper.rb                  |   2 +
 app/javascript/application.js                      |   3 +
 app/javascript/controllers/application.js          |   9 +
 app/javascript/controllers/composer_controller.js  |  10 +
 .../controllers/conversation_controller.js         |   9 +
 app/javascript/controllers/index.js                |   4 +
 app/jobs/application_job.rb                        |   7 +
 app/mailers/application_mailer.rb                  |   4 +
 app/models/application_record.rb                   |   3 +
 app/models/concerns/.keep                          |   0
 app/models/conversation.rb                         |  11 +
 app/models/message.rb                              |   8 +
 app/models/visitor.rb                              |   3 +
 app/services/conversation_reply.rb                 |  26 +
 app/views/conversations/index.html.erb             |  77 +++
 app/views/layouts/application.html.erb             |  31 ++
 app/views/layouts/mailer.html.erb                  |  13 +
 app/views/layouts/mailer.text.erb                  |   1 +
 app/views/messages/_message.html.erb               |   3 +
 app/views/pwa/manifest.json.erb                    |  22 +
 app/views/pwa/service-worker.js                    |  26 +
 bin/brakeman                                       |   7 +
 bin/bundler-audit                                  |   6 +
 bin/ci                                             |   6 +
 bin/dev                                            |  16 +
 bin/docker-entrypoint                              |   5 +
 bin/importmap                                      |   4 +
 bin/rails                                          |   4 +
 bin/rake                                           |   4 +
 bin/rubocop                                        |   8 +
 bin/setup                                          |  35 ++
 bin/thrust                                         |   5 +
 compose.yaml                                       |  13 +
 config.ru                                          |   6 +
 config/application.rb                              |  39 ++
 config/boot.rb                                     |   4 +
 config/bundler-audit.yml                           |   4 +
 config/ci.rb                                       |  23 +
 config/credentials.yml.enc                         |   1 +
 config/database.yml                                |  31 ++
 config/environment.rb                              |   5 +
 config/environments/development.rb                 |  72 +++
 config/environments/production.rb                  |  86 ++++
 config/environments/test.rb                        |  50 ++
 config/importmap.rb                                |   7 +
 config/initializers/assets.rb                      |   7 +
 config/initializers/content_security_policy.rb     |  29 ++
 config/initializers/filter_parameter_logging.rb    |   8 +
 config/initializers/inflections.rb                 |  16 +
 config/initializers/ruby_llm.rb                    |   4 +
 config/locales/en.yml                              |  31 ++
 config/puma.rb                                     |  39 ++
 config/routes.rb                                   |  17 +
 db/migrate/20260922233000_create_visitors.rb       |   7 +
 db/migrate/20260922233100_create_conversations.rb  |  13 +
 db/migrate/20260922233200_create_messages.rb       |  13 +
 db/schema.rb                                       |  39 ++
 db/seeds.rb                                        |   9 +
 lib/tasks/.keep                                    |   0
 log/.keep                                          |   0
 public/400.html                                    | 135 ++++++
 public/404.html                                    | 135 ++++++
 public/406-unsupported-browser.html                | 135 ++++++
 public/422.html                                    | 135 ++++++
 public/500.html                                    | 135 ++++++
 public/icon.png                                    | Bin 0 -> 4166 bytes
 public/icon.svg                                    |   3 +
 public/robots.txt                                  |   1 +
 script/.keep                                       |   0
 storage/.keep                                      |   0
 test/controllers/.keep                             |   0
 test/fixtures/files/.keep                          |   0
 test/helpers/.keep                                 |   0
 test/integration/.keep                             |   0
 test/integration/conversation_access_test.rb       |  36 ++
 test/mailers/.keep                                 |   0
 test/models/.keep                                  |   0
 test/models/conversation_test.rb                   |  31 ++
 test/models/message_test.rb                        |  24 +
 test/services/conversation_reply_test.rb           |  90 ++++
 test/system/application_system_test_case.rb        |  10 +
 test/system/chat_flow_test.rb                      |  75 +++
 test/test_helper.rb                                |  15 +
 tmp/.keep                                          |   0
 vendor/.keep                                       |   0
 vendor/javascript/.keep                            |   0
 107 files changed, 2875 insertions(+)
