8fbc1a2 Update Nokogiri to audited release
 Gemfile      |  2 +-
 Gemfile.lock | 32 +++++++++++++++++++++++++-------
 2 files changed, 26 insertions(+), 8 deletions(-)
3640b6a Add admin-only user management area
 README.md                                          |  10 ++
 app/controllers/admin/base_controller.rb           |   9 ++
 app/controllers/admin/users_controller.rb          |  48 ++++++++
 app/controllers/application_controller.rb          |   2 +-
 app/controllers/sessions_controller.rb             |   2 +-
 app/models/user.rb                                 |  44 +++++++
 app/views/admin/users/_flash.html.erb              |   6 +
 app/views/admin/users/index.html.erb               |  56 +++++++++
 app/views/admin/users/show.html.erb                |  27 +++++
 app/views/conversations/index.html.erb             |   9 +-
 config/routes.rb                                   |  10 ++
 .../20260922233400_add_administration_to_users.rb  |  10 ++
 db/schema.rb                                       |   7 +-
 test/integration/admin_users_test.rb               | 126 +++++++++++++++++++++
 test/integration/authentication_test.rb            |  22 +++-
 test/models/user_test.rb                           |  41 +++++++
 test/system/admin_users_flow_test.rb               |  58 ++++++++++
 17 files changed, 480 insertions(+), 7 deletions(-)
adf4e19 Fix conversation ownership and restore login submission
 app/controllers/conversations_controller.rb | 2 +-
 app/views/sessions/new.html.erb             | 1 +
 2 files changed, 2 insertions(+), 1 deletion(-)
25dee8c Tidy up sign-in form markup
 app/views/sessions/new.html.erb | 1 -
 1 file changed, 1 deletion(-)
f4ebfd7 Simplify conversation lookup
 app/controllers/conversations_controller.rb | 2 +-
 1 file changed, 1 insertion(+), 1 deletion(-)
7da7e6f Pin nokogiri for reproducible builds
 Gemfile      |  3 +++
 Gemfile.lock | 31 +++++++------------------------
 2 files changed, 10 insertions(+), 24 deletions(-)
54d14a5 Add account authentication and per-user conversations
 Gemfile                                            |  4 +-
 Gemfile.lock                                       |  3 +
 README.md                                          |  8 +-
 app/controllers/application_controller.rb          | 44 ++++++++---
 app/controllers/conversations_controller.rb        |  8 +-
 app/controllers/messages_controller.rb             |  4 +-
 app/controllers/registrations_controller.rb        | 33 ++++++++
 app/controllers/sessions_controller.rb             | 27 +++++++
 app/models/conversation.rb                         |  2 +-
 app/models/user.rb                                 | 11 +++
 app/models/visitor.rb                              |  3 -
 app/views/conversations/index.html.erb             |  5 +-
 app/views/registrations/new.html.erb               | 29 +++++++
 app/views/sessions/new.html.erb                    | 28 +++++++
 config/routes.rb                                   |  6 ++
 ...2233300_add_users_and_transfer_conversations.rb | 31 ++++++++
 db/schema.rb                                       | 14 ++--
 test/integration/authentication_test.rb            | 89 ++++++++++++++++++++++
 test/integration/conversation_access_test.rb       | 55 +++++++++----
 test/models/conversation_test.rb                   | 18 ++---
 test/models/message_test.rb                        |  2 +-
 test/models/user_test.rb                           | 24 ++++++
 test/services/conversation_reply_test.rb           |  2 +-
 test/system/authentication_flow_test.rb            | 51 +++++++++++++
 test/system/chat_flow_test.rb                      | 13 +++-
 25 files changed, 456 insertions(+), 58 deletions(-)
abf9783 Build Rails chat foundation with OpenRouter
 .dockerignore                                      |  48 ++
 .env.example                                       |   2 +
 .github/dependabot.yml                             |  12 +
 .github/workflows/ci.yml                           | 124 +++++
 .gitignore                                         |  17 +
 .rubocop.yml                                       |   8 +
 .ruby-version                                      |   1 +
 Dockerfile                                         |  26 +
 Gemfile                                            |  56 +++
