c7126e1 Allow committing .env.example while still ignoring real .env files
 .gitignore | 4 +++-
 1 file changed, 3 insertions(+), 1 deletion(-)
2749efd Sprint 1: RubyLLM chat app foundation
 .dockerignore                                      |  47 ++
 .env.example                                       |   7 +
 .gitattributes                                     |   9 +
 .github/dependabot.yml                             |  12 +
 .github/workflows/ci.yml                           | 130 +++++
 .gitignore                                         |  38 ++
 .rubocop.yml                                       |   8 +
 .ruby-version                                      |   1 +
 Dockerfile                                         |  77 +++
 Gemfile                                            |  74 +++
 Gemfile.lock                                       | 602 +++++++++++++++++++++
 Procfile.dev                                       |   2 +
 README.md                                          | 104 ++++
 Rakefile                                           |   6 +
 app/assets/builds/.keep                            |   0
 app/assets/images/.keep                            |   0
 app/assets/stylesheets/application.css             |  10 +
 app/assets/tailwind/application.css                |   1 +
 app/controllers/application_controller.rb          |   7 +
 app/controllers/concerns/.keep                     |   0
 app/controllers/conversations_controller.rb        |  40 ++
 app/controllers/messages_controller.rb             |  75 +++
 app/helpers/application_helper.rb                  |   2 +
 app/javascript/application.js                      |   3 +
 app/javascript/controllers/application.js          |   9 +
 app/javascript/controllers/chat_controller.js      |  30 +
 app/javascript/controllers/index.js                |   4 +
 app/jobs/application_job.rb                        |   7 +
 app/mailers/application_mailer.rb                  |   4 +
 app/models/application_record.rb                   |   3 +
 app/models/concerns/.keep                          |   0
 app/models/conversation.rb                         |  13 +
 app/models/message.rb                              |  18 +
 app/services/chat_service.rb                       |  64 +++
 .../conversations/_conversation_link.html.erb      |  10 +
 app/views/conversations/index.html.erb             |  12 +
 app/views/conversations/show.html.erb              |  23 +
 app/views/layouts/application.html.erb             |  24 +
 app/views/layouts/chat.html.erb                    |  36 ++
 app/views/layouts/mailer.html.erb                  |  13 +
 app/views/layouts/mailer.text.erb                  |   1 +
 app/views/messages/_error.html.erb                 |   3 +
 app/views/messages/_form.html.erb                  |  19 +
 app/views/messages/_message.html.erb               |   7 +
 app/views/messages/create.turbo_stream.erb         |   3 +
 app/views/pwa/manifest.json.erb                    |  22 +
 app/views/pwa/service-worker.js                    |  26 +
 bin/brakeman                                       |   7 +
 bin/bundler-audit                                  |   6 +
 bin/ci                                             |   6 +
 bin/dev                                            |  16 +
 bin/docker-entrypoint                              |   8 +
 bin/importmap                                      |   4 +
 bin/jobs                                           |   6 +
 bin/rails                                          |   4 +
 bin/rake                                           |   4 +
 bin/rubocop                                        |   8 +
 bin/setup                                          |  35 ++
 bin/thrust                                         |   5 +
 compose.yaml                                       |  19 +
 config.ru                                          |   6 +
 config/application.rb                              |  32 ++
 config/boot.rb                                     |   4 +
 config/bundler-audit.yml                           |   5 +
 config/cable.yml                                   |  17 +
 config/cache.yml                                   |  16 +
 config/ci.rb                                       |  24 +
 config/credentials.yml.enc                         |   1 +
 config/database.yml                                |  44 ++
 config/environment.rb                              |   5 +
 config/environments/development.rb                 |  78 +++
 config/environments/production.rb                  |  90 +++
 config/environments/test.rb                        |  53 ++
 config/importmap.rb                                |   7 +
 config/initializers/assets.rb                      |   7 +
 config/initializers/content_security_policy.rb     |  29 +
 config/initializers/filter_parameter_logging.rb    |   8 +
 config/initializers/inflections.rb                 |  16 +
 config/initializers/ruby_llm.rb                    |   9 +
 config/locales/en.yml                              |  31 ++
 config/puma.rb                                     |  42 ++
 config/queue.yml                                   |  18 +
 config/recurring.yml                               |  15 +
 config/routes.rb                                   |   9 +
 config/storage.yml                                 |  27 +
 db/cable_schema.rb                                 |  11 +
 db/cache_schema.rb                                 |  12 +
 db/migrate/20260910080000_create_conversations.rb  |  12 +
 db/migrate/20260910080100_create_messages.rb       |  13 +
 db/queue_schema.rb                                 | 160 ++++++
 db/schema.rb                                       |  33 ++
 db/seeds.rb                                        |   9 +
 lib/tasks/.keep                                    |   0
 log/.keep                                          |   0
 public/400.html                                    | 135 +++++
 public/404.html                                    | 135 +++++
 public/406-unsupported-browser.html                | 135 +++++
 public/422.html                                    | 135 +++++
 public/500.html                                    | 135 +++++
 public/icon.png                                    | Bin 0 -> 4166 bytes
 public/icon.svg                                    |   3 +
 public/robots.txt                                  |   1 +
 script/.keep                                       |   0
 storage/.keep                                      |   0
 test/application_system_test_case.rb               |  10 +
 test/controllers/.keep                             |   0
 test/controllers/conversations_controller_test.rb  |  50 ++
 test/controllers/messages_controller_test.rb       |  68 +++
 test/fixtures/conversations.yml                    |   6 +
 test/fixtures/files/.keep                          |   0
 test/fixtures/messages.yml                         |   9 +
 test/helpers/.keep                                 |   0
 test/integration/.keep                             |   0
 test/mailers/.keep                                 |   0
 test/models/.keep                                  |   0
 test/models/chat_service_test.rb                   |  85 +++
 test/models/conversation_test.rb                   |  42 ++
 test/models/message_test.rb                        |  39 ++
 test/system/chat_flow_test.rb                      |  78 +++
 test/test_helper.rb                                |  16 +
 tmp/.keep                                          |   0
 tmp/pids/.keep                                     |   0
 tmp/storage/.keep                                  |   0
 vendor/.keep                                       |   0
 vendor/javascript/.keep                            |   0
 125 files changed, 3659 insertions(+)
