7f5d27a feat: RubyLLM-powered ChatGPT-like SPA with Hotwire and Tailwind
 .dockerignore                                      |  51 ++
 .gitattributes                                     |   9 +
 .github/dependabot.yml                             |  12 +
 .github/workflows/ci.yml                           | 124 +++++
 .gitignore                                         |  38 ++
 .kamal/hooks/docker-setup.sample                   |   3 +
 .kamal/hooks/post-app-boot.sample                  |   3 +
 .kamal/hooks/post-deploy.sample                    |  14 +
 .kamal/hooks/post-proxy-reboot.sample              |   3 +
 .kamal/hooks/pre-app-boot.sample                   |   3 +
 .kamal/hooks/pre-build.sample                      |  51 ++
 .kamal/hooks/pre-connect.sample                    |  47 ++
 .kamal/hooks/pre-deploy.sample                     | 122 +++++
 .kamal/hooks/pre-proxy-reboot.sample               |   3 +
 .kamal/secrets                                     |  20 +
 .rubocop.yml                                       |   8 +
 .ruby-version                                      |   1 +
 Dockerfile                                         |  77 +++
 Gemfile                                            |  66 +++
 Gemfile.lock                                       | 576 +++++++++++++++++++++
 Procfile.dev                                       |   2 +
 README.md                                          | 109 ++++
 Rakefile                                           |   6 +
 app/agents/.gitkeep                                |   0
 app/assets/builds/.keep                            |   0
 app/assets/images/.keep                            |   0
 app/assets/stylesheets/application.css             |  10 +
 app/assets/tailwind/application.css                |   1 +
 app/controllers/application_controller.rb          |   7 +
 app/controllers/chats_controller.rb                |  49 ++
 app/controllers/concerns/.keep                     |   0
 app/controllers/messages_controller.rb             |  27 +
 app/helpers/application_helper.rb                  |   2 +
 app/javascript/application.js                      |   3 +
 app/javascript/controllers/application.js          |   9 +
 app/javascript/controllers/autosize_controller.js  |  15 +
 app/javascript/controllers/index.js                |   4 +
 .../controllers/scroll_bottom_controller.js        |  19 +
 app/jobs/application_job.rb                        |   7 +
 app/jobs/chat_response_job.rb                      |  17 +
 app/models/application_record.rb                   |   3 +
 app/models/chat.rb                                 |  15 +
 app/models/concerns/.keep                          |   0
 app/models/message.rb                              |  11 +
 app/models/model.rb                                |   3 +
 app/models/tool_call.rb                            |   3 +
 app/prompts/.gitkeep                               |   0
 app/schemas/.gitkeep                               |   0
 app/tools/.gitkeep                                 |   0
 app/views/chats/_sidebar.html.erb                  |  18 +
